Country,Meal_Inexpensive_Restaurant
Switzerland,37.35
Denmark,27.58
United States,26.72
Norway,25.72
United Kingdom,24.87
Guernsey,24.87
Iceland,24.5
Israel,23.65
Australia,22.4
Belgium,22.01
Cyprus,22.01
Italy,22.01
Malta,22.01
Netherlands,22.01
Ireland,22.01
France,22.01
Canada,20.73
New Zealand,20.69
Austria,20.54
Uruguay,18.95
Greece,17.61
Finland,17.61
Germany,17.61
Spain,17.61
Estonia,17.61
Puerto Rico,17.37
Sweden,15.52
Latvia,14.67
Slovenia,14.67
Georgia,14.37
Lebanon,13.36
Venezuela,13.36
Portugal,13.21
Lithuania,13.21
Belarus,13.13
Chile,12.57
Costa Rica,12.36
Czech Republic,11.96
Hungary,11.77
Croatia,11.75
Bulgaria,11.26
Mexico,11.15
South Africa,11.08
Poland,11.06
Qatar,11
Montenegro,11
United Arab Emirates,10.91
Trinidad And Tobago,10.74
Panama,10.69
Singapore,10.53
Romania,10.39
Slovakia,10.27
Hong Kong (China),10.21
Armenia,10.13
Serbia,10
Japan,9.96
Russia,9.77
Dominican Republic,9.67
Palestine,9.1
Mauritius,8.91
Saudi Arabia,8.9
Moldova,8.88
Argentina,8.86
Kazakhstan,8.81
Kuwait,8.67
South Korea,8.13
Azerbaijan,7.86
Albania,7.79
Brazil,7.55
Jordan,7.53
Ukraine,7.18
Jamaica,6.96
Ethiopia,6.68
Uzbekistan,6.68
Iraq,6.35
Bosnia And Herzegovina,6
Guatemala,5.95
North Macedonia,5.95
Kosovo (Disputed Territory),5.87
Libya,5.57
Turkey,5.5
Iran,5.41
Taiwan (China),5.26
Kenya,4.97
China,4.86
Philippines,4.8
Ecuador,4.68
Colombia,4.51
Egypt,4.32
Ghana,4.25
Peru,4.21
Morocco,3.92
Bolivia,3.84
Malaysia,3.63
Tunisia,3.52
India,3.26
Thailand,3.11
Algeria,2.96
Vietnam,2.84
Nepal,2.55
Bangladesh,2.49
Indonesia,2.26
Sri Lanka,2.05
Nigeria,2.02
Pakistan,1.65
